"薬品マスタ","2026/03/04"
"PK","","TZMYAKUHINMEISHO","TZMYAKUHIN","TZMYAKUHINBETSUKIHONJOHOKUBUN","","TZMYAKUKA","TZMYAKUHINMEISHO","TZMYAKUHIN","","TZMYAKUHINBETSUKIHONJOHOKUBUN",""
"YAKUHIN_CODE","","YAKUHIN_NM","HOST_CODE","SAIYO_DIV","","YAKKA","YAKUHIN_NM_KANA","ZAIKEI_CODE","","DOKUGEKIYAKU_DIV",""
"コード(区分値)","コード","名称","ホストコード","採用区分（区分値）(区分値)","採用区分（区分値）","薬価","カナ名称","剤形(区分値)","剤形","毒劇薬（区分値）(区分値)","毒劇薬（区分値）"
"ｱｽﾚ002","ｱｽﾚ002","アズレン点眼液わかもと","","0","","0","ｱｽﾞﾚﾝﾃﾝｶﾞﾝｴｷﾜｶﾓﾄ","021","点眼剤","0",""
"ｱｾﾘ001","ｱｾﾘ001","アセリオ静注液１０００ｍｇバッグ","ｱｾﾘ","2","","298.00000","ｱｾﾘｵｼﾞｮｳﾁｭｳｴｷ1000mgﾊﾞｯｸﾞ","025","注射剤","2",""
"ｱｾﾚ001","ｱｾﾚ001","アセレンド注１００μｇ","ｱｾﾚ","2","","1646.00000","ｱｾﾚﾝﾄﾞﾁｭｳ100μg","025","注射剤","2",""
"ｱｿｾ001","ｱｿｾ001","アゾセミド錠３０ｍｇ「ＪＧ」","ｱｿﾞｾ1","0","","10.40000","ｱｿﾞｾﾐﾄﾞｼﾞｮｳ30mg｢JG｣","001","錠剤","0",""
"ｱｿｾ002","ｱｿｾ002","アゾセミド錠３０ｍｇ「ＤＳＥＰ」","ｱｿﾞｾ2","2","","10.40000","ｱｿﾞｾﾐﾄﾞｼﾞｮｳ30mg｢DSEP｣","001","錠剤","0",""
"ｱｿｾ003","ｱｿｾ003","アゾセミド錠６０ｍｇ「ＤＳＥＰ」","ｱｿﾞｾ","0","","11.30000","ｱｿﾞｾﾐﾄﾞｼﾞｮｳ60mg｢DSEP｣","001","錠剤","0",""
"ｱﾀﾗ001","ｱﾀﾗ001","アタラックス錠２５ｍｇ","ｱﾀﾗｯ2","1","","6.10000","ｱﾀﾗｯｸｽｼﾞｮｳ25mg","001","錠剤","0",""
"ｱﾀﾗ002","ｱﾀﾗ002","アダラートＣＲ錠２０ｍｇ","ｱﾀﾞﾗ","1","","13.20000","ｱﾀﾞﾗｰﾄCRｼﾞｮｳ20mg","001","錠剤","2",""
"ｱﾁｽ001","ｱﾁｽ001","アーチスト錠１．２５ｍｇ","ｱｰﾁ","1","","10.40000","ｱｰﾁｽﾄｼﾞｮｳ1.25mg","001","錠剤","0",""
"ｱﾄｴ001","ｱﾄｴ001","アドエア５００ディスカス６０吸入用","ｱﾄﾞｴ","2","","3952.10000","ｱﾄﾞｴｱ500ﾃﾞｨｽｶｽ60ｷｭｳﾆｭｳﾖｳ","010","吸入剤","0",""
