"薬品マスタ","2026/03/04"
"PK","","TZMYAKUHINMEISHO","TZMYAKUHIN","TZMYAKUHINBETSUKIHONJOHOKUBUN","","TZMYAKUKA","TZMYAKUHINMEISHO","TZMYAKUHIN","","TZMYAKUHINBETSUKIHONJOHOKUBUN",""
"YAKUHIN_CODE","","YAKUHIN_NM","HOST_CODE","SAIYO_DIV","","YAKKA","YAKUHIN_NM_KANA","ZAIKEI_CODE","","DOKUGEKIYAKU_DIV",""
"コード(区分値)","コード","名称","ホストコード","採用区分（区分値）(区分値)","採用区分（区分値）","薬価","カナ名称","剤形(区分値)","剤形","毒劇薬（区分値）(区分値)","毒劇薬（区分値）"
"ｸﾗﾘ001","ｸﾗﾘ001","クラリチン錠１０ｍｇ","ｸﾗﾘ","1","","31.70000","ｸﾗﾘﾁﾝｼﾞｮｳ10mg","001","錠剤","0",""
"ｸﾗﾘ002","ｸﾗﾘ002","クラリシッド錠２００ｍｇ","ｸﾗﾘｼ1","1","","24.90000","ｸﾗﾘｼｯﾄﾞｼﾞｮｳ200mg","001","錠剤","0",""
"ｸﾗﾝ001","ｸﾗﾝ001","グランダキシン錠５０","ｸﾞﾗﾝ50","1","","8.20000","ｸﾞﾗﾝﾀﾞｷｼﾝｼﾞｮｳ50","001","錠剤","0",""
"ｸﾘｾ001","ｸﾘｾ001","グリセオール注","ｸﾞﾘｾ1","1","","302.00000","ｸﾞﾘｾｵｰﾙﾁｭｳ","025","注射剤","0",""
"ｸﾘｾ002","ｸﾘｾ002","グリセリン浣腸液５０％「ムネ」６０ｍＬ","ｸﾞﾘｾ2","1","","124.20000","ｸﾞﾘｾﾘﾝｶﾝﾁｮｳｴｷ50%｢ﾑﾈ｣60mL","013","浣腸","0",""
"ｸﾘﾁ001","ｸﾘﾁ001","グリチロン配合錠","ｸﾞﾘﾁﾛﾝ","1","","5.90000","ｸﾞﾘﾁﾛﾝﾊｲｺﾞｳｼﾞｮｳ","001","錠剤","0",""
"ｸﾘﾌ001","ｸﾘﾌ001","グリファーゲン静注２０ｍＬ","ｸﾞﾘﾌｧ","0","","57.00000","ｸﾞﾘﾌｧｰｹﾞﾝｼﾞｮｳﾁｭｳ20mL","025","注射剤","0",""
"ｸﾘﾒ001","ｸﾘﾒ001","グリメピリド錠１ｍｇ「トーワ」","ｸﾞﾘﾒ","0","","10.40000","ｸﾞﾘﾒﾋﾟﾘﾄﾞｼﾞｮｳ1mg｢ﾄｰﾜ｣","001","錠剤","2",""
"ｸﾘﾒ002","ｸﾘﾒ002","グリメピリドＯＤ錠１ｍｇ「トーワ」","","1","","10.40000","ｸﾞﾘﾒﾋﾟﾘﾄﾞODｼﾞﾖｳ1MGﾄ-ﾜ","001","錠剤","2",""
"ｸﾘﾝ001","ｸﾘﾝ001","クリンダマイシンリン酸エステル注３００ｍｇ「トーワ」","","0","","272.00000","ｸﾘﾝﾀﾞﾏｲｼﾝﾘﾝｻﾝｴｽﾃﾙﾁﾕｳ300MGﾄ-ﾜ","025","注射剤","0",""
"ｸﾘﾝ002","ｸﾘﾝ002","クリンダマイシンリン酸エステル６００ｍｇ注射液","","1","","333.00000","ｸﾘﾝﾀﾞﾏｲｼﾝﾘﾝｻﾝｴｽﾃﾙ600MGﾁﾕｳｼﾔｴｷ","025","注射剤","0",""
"ｸﾘﾝ003","ｸﾘﾝ003","クリンダマイシンリン酸エステル注射液６００ｍｇ「サワイ」","","0","","387.00000","ｸﾘﾝﾀﾞﾏｲｼﾝﾘﾝｻﾝｴｽﾃﾙﾁﾕｳｼﾔｴｷ600MGｻﾜｲ","025","注射剤","0",""
"ｸﾚﾅ001","ｸﾚﾅ001","クレナフィン爪外用液１０％","ｸﾚﾅ","0","","1396.80000","ｸﾚﾅﾌｨﾝ爪ｶﾞｲﾖｳｴｷ10%","017","外用液剤","0",""
"ｸﾚﾐ001","ｸﾚﾐ001","クレミン錠２５ｍｇ","ｸﾚﾐ2**","0","","25.90000","ｸﾚﾐﾝｼﾞｮｳ25mg","001","錠剤","2",""
"ｸﾚﾒ001","ｸﾚﾒ001","クレメジン細粒分包２ｇ","ｸﾚﾒ","1","","48.30000","ｸﾚﾒｼﾞﾝｻｲﾘｭｳﾌﾞﾝﾎﾟｳ2g","003","散","0",""
"ｸﾛﾋ001","ｸﾛﾋ001","クロピドグレル錠２５ｍｇ「トーワ」","ｸﾛﾋﾟ2","0","","12.70000","ｸﾛﾋﾟﾄﾞｸﾞﾚﾙｼﾞｮｳ25mg｢ﾄｰﾜ｣","001","錠剤","0",""
"ｸﾛﾋ002","ｸﾛﾋ002","クロピドグレル錠７５ｍｇ「トーワ」","ｸﾛﾋﾟﾄﾞ","0","","31.90000","ｸﾛﾋﾟﾄﾞｸﾞﾚﾙｼﾞｮｳ75mg｢ﾄｰﾜ｣","001","錠剤","0",""
"ｸﾛﾋ003","ｸﾛﾋ003","クロピドグレル錠２５ｍｇ「ＪＧ」","","2","","12.70000","ｸﾛﾋﾟﾄﾞｸﾞﾚﾙｼﾞﾖｳ25MGJG","001","錠剤","0",""
"ｸﾛﾋ004","ｸﾛﾋ004","クロピドグレル錠７５ｍｇ「ＪＧ」","","1","","31.90000","ｸﾛﾋﾟﾄﾞｸﾞﾚﾙｼﾞﾖｳ75MGJG","001","錠剤","0",""
"ｸﾛﾌ001","ｸﾛﾌ001","クロフェクトン錠２５ｍｇ","ｸﾛﾌｪｸ2","2","","16.10000","ｸﾛﾌｪｸﾄﾝｼﾞｮｳ25mg","001","錠剤","0",""
"ｸﾛﾍ001","ｸﾛﾍ001","クロベタゾールプロピオン酸エステル軟膏０．０５％「イワキ」","","1","","11.70000","ｸﾛﾍﾞﾀｿﾞ-ﾙﾌﾟﾛﾋﾟｵﾝｻﾝｴｽﾃﾙﾅﾝｺｳ0.05%ｲﾜｷ","014","軟膏","2",""
"ｸﾛﾏ001","ｸﾛﾏ001","クロマイ腟錠１００ｍｇ","ｸﾛﾏｲ","1","","71.70000","ｸﾛﾏｲﾁﾂｼﾞｮｳ100mg","011","膣錠","0",""
"ｸﾛﾓ001","ｸﾛﾓ001","クロモグリク酸Ｎａ点眼液２％「トーワ」","ｸﾛﾓｸﾞ2","0","","201.70000","ｸﾛﾓｸﾞﾘｸｻﾝNaﾃﾝｶﾞﾝｴｷ2%｢ﾄｰﾜ｣","021","点眼剤","0",""
"ｸﾛﾓ002","ｸﾛﾓ002","クロモグリク酸Ｎａ点眼液２％「ニッテン」","ｸﾛﾓｸﾞﾘ","0","","187.80000","ｸﾛﾓｸﾞﾘｸｻﾝNaﾃﾝｶﾞﾝｴｷ2%｢ﾆｯﾃﾝ｣","021","点眼剤","0",""
"ｸﾛﾓ003","ｸﾛﾓ003","クロモグリク酸Ｎａ点鼻液２％「トーワ」","ｸﾛﾓｸﾞ1","0","","239.10000","ｸﾛﾓｸﾞﾘｸｻﾝNaﾃﾝﾋﾞｴｷ2%｢ﾄｰﾜ｣","023","点鼻薬","0",""
"ｸﾛﾓ004","ｸﾛﾓ004","クロモグリク酸Ｎａ点眼液２％「ニットー」","","1","","187.80000","ｸﾛﾓｸﾞﾘｸｻﾝNAﾃﾝｶﾞﾝｴｷ2%ﾆﾂﾄ-","021","点眼剤","0",""
"ｸﾛﾙ001","ｸﾛﾙ001","ｄ－クロルフェニラミンマレイン酸塩徐放錠６ｍｇ「武田テバ」","","0","","5.70000","Dｸﾛﾙﾌｴﾆﾗﾐﾝﾏﾚｲﾝｻﾝｴﾝｼﾞﾖﾎｳｼﾞﾖｳ6MGﾀｹﾀﾞﾃﾊﾞ","001","錠剤","0",""
"ｹｲﾂ001","ｹｲﾂ001","ケイツーＮ静注１０ｍｇ","ｹｲﾂｰ","1","","61.00000","ｹｲﾂｰNｼﾞｮｳﾁｭｳ10mg","025","注射剤","0",""
"ｹﾄﾁ001","ｹﾄﾁ001","ケトチフェン点鼻液０．０５％「サワイ」","ｹﾄﾁ","1","","231.00000","ｹﾄﾁﾌｪﾝﾃﾝﾋﾞｴｷ0.05%｢ｻﾜｲ｣","023","点鼻薬","0",""
"ｹﾄﾌ001","ｹﾄﾌ001","ケトプロフェンパップ３０ｍｇ「三和」","ｹﾄﾌﾟ","1","","12.30000","ｹﾄﾌﾟﾛﾌｪﾝﾊﾟｯﾌﾟ30mg｢ｻﾝﾜ｣","019","貼付剤","0",""
"ｹﾌﾗ001","ｹﾌﾗ001","ケフラールカプセル２５０ｍｇ","ｹﾌﾗ","1","","54.70000","ｹﾌﾗｰﾙｶﾌﾟｾﾙ250mg","002","カプセル","0",""
"ｹﾌﾚ001","ｹﾌﾚ001","ケフレックスカプセル２５０ｍｇ","","0","","31.50000","ｹﾌﾚﾂｸｽｶﾌﾟｾﾙ250MG","002","カプセル","0",""
"ｹﾍﾝ001","ｹﾍﾝ001","ゲーベンクリーム１％","ｹﾞｰﾍﾞﾝ","1","","12.80000","ｹﾞ-ﾍﾞﾝｸﾘ-ﾑ1%","015","クリーム","0",""
"ｹﾙﾛ001","ｹﾙﾛ001","ケルロング錠１０ｍｇ","ｹﾙﾛﾝｸﾞ","1","","45.90000","ｹﾙﾛﾝｸﾞｼﾞｮｳ10mg","001","錠剤","0",""
"ｹﾝﾀ001","ｹﾝﾀ001","ゲンタマイシン硫酸塩軟膏０．１％「イワキ」","ｹﾞﾝﾀ","1","","8.70000","ｹﾞﾝﾀﾏｲｼﾝﾘｭｳｻﾝｴﾝﾅﾝｺｳ0.1%｢ｲﾜｷ｣","014","軟膏","0",""
"ｹﾝﾀﾞｸ1","ｹﾝﾀﾞｸ1","アイトロール錠１０ｍｇ","","1","","10.10000","ｱｲﾄﾛ-ﾙｼﾞﾖｳ10MG","001","錠剤","0",""
"ｹﾝﾀﾞｸ2","ｹﾝﾀﾞｸ2","塩化リゾチーム１０ｍｇ錠","","1","","0","ｴﾝｶﾘｿﾞﾁ-ﾑ10MGｼﾞﾖｳ","001","錠剤","0",""
"ｺｰﾄ001","ｺｰﾄ001","コートリル錠１０ｍｇ","","0","","7.40000","ｺ-ﾄﾘﾙｼﾞﾖｳ10MG","001","錠剤","0",""
"ｺｿﾌ001","ｺｿﾌ001","コソプト配合点眼液","ｺｿﾌﾟ","2","","326.00000","ｺｿﾌﾟﾄﾊｲｺﾞｳﾃﾝｶﾞﾝｴｷ","021","点眼剤","0",""
"ｺﾀﾛ022","ｺﾀﾛ022","コタロー消風散エキス細粒","ｼｮｳﾌ","0","","7.20000","ｺﾀﾛｰｼｮｳﾌｳｻﾝｴｷｽｻｲﾘｭｳ","003","散","0",""
"ｺﾃｲ001","ｺﾃｲ001","コデインリン酸塩散１％「フソー」","ｺﾃﾞｲ","0","","7.70000","ｺﾃﾞｲﾝﾘﾝｻﾝｴﾝｻﾝ1%｢ﾌｿｰ｣","003","散","2",""
"ｺﾅﾂ001","ｺﾅﾂ001","ゴナックス皮下注用８０ｍｇ","ｺﾞﾅ","0","","18174.00000","ｺﾞﾅｯｸｽﾋｶﾁｭｳﾖｳ80mg","025","注射剤","2",""
"ｺﾑﾀ001","ｺﾑﾀ001","コムタン錠１００ｍｇ","ｺﾑﾀ","0","","74.50000","ｺﾑﾀﾝｼﾞｮｳ100mg","001","錠剤","0",""
"ｺﾙﾀ001","ｺﾙﾀ001","コールタイジン点鼻液","ｺｰﾙﾀｲｼ","1","","7.50000","ｺｰﾙﾀｲｼﾞﾝﾃﾝﾋﾞｴｷ","023","点鼻薬","0",""
"ｺﾝｻ001","ｺﾝｻ001","コンサータ錠１８ｍｇ","ｺﾝｻ","2","","235.80000","ｺﾝｻｰﾀｼﾞｮｳ18mg","001","錠剤","2",""
"ｺﾝﾄ001","ｺﾝﾄ001","コントミン糖衣錠２５ｍｇ","ｺﾝﾄﾐ2","1","","9.70000","ｺﾝﾄﾐﾝﾄｳｲｼﾞｮｳ25mg","001","錠剤","0",""
"ｺﾝﾄ002","ｺﾝﾄ002","コントミン糖衣錠５０ｍｇ","ｺﾝﾄﾐ3","1","","9.70000","ｺﾝﾄﾐﾝﾄｳｲｼﾞｮｳ50mg","001","錠剤","2",""
"ｺﾝﾄ003","ｺﾝﾄ003","コントミン糖衣錠１００ｍｇ","ｺﾝﾄﾐ4","1","","9.70000","ｺﾝﾄﾐﾝﾄｳｲｼﾞｮｳ100mg","001","錠剤","2",""
"ｻｱﾐ001","ｻｱﾐ001","サアミオン錠５ｍｇ","ｻｱﾐ","0","","14.40000","ｻｱﾐｵﾝｼﾞｮｳ5mg","001","錠剤","0",""
"ｻﾉﾚ001","ｻﾉﾚ001","サノレックス錠０．５ｍｇ","ｻﾉﾚ","0","","165.80000","ｻﾉﾚｯｸｽｼﾞｮｳ0.5mg","001","錠剤","2",""
"ｻﾘﾁ001","ｻﾘﾁ001","５％サリチル酸ワセリン軟膏東豊","ｻﾘﾁﾙﾜｾ","1","","4.20000","5%ｻﾘﾁﾙｻﾝﾜｾﾘﾝﾅﾝｺｳﾄｳﾎｳ","014","軟膏","0",""
"ｻﾘﾍ001","ｻﾘﾍ001","サリベートエアゾール","","0","","369.10000","ｻﾘﾍﾞ-ﾄｴｱｿﾞ-ﾙ","024","その他","0",""
"ｻﾜｼ001","ｻﾜｼ001","サワシリン錠２５０","ｻﾜｼﾘﾝ","1","","15.30000","ｻﾜｼﾘﾝｼﾞｮｳ250","001","錠剤","0",""
"ｻﾝｶ001","ｻﾝｶ001","酸化マグネシウム","ｶﾏｸﾞ**","1","","0.93000","ｻﾝｶﾏｸﾞﾈｼｳﾑ","003","散","0",""
"ｻﾝﾘ001","ｻﾝﾘ001","サンリズムカプセル２５ｍｇ","ｻﾝﾘ","2","","21.20000","ｻﾝﾘｽﾞﾑｶﾌﾟｾﾙ25mg","002","カプセル","2",""
"ｼｱｾ001","ｼｱｾ001","ジアゼパム錠２ｍｇ「アメル」","ｼﾞｱｾﾞ2","1","","5.90000","ｼﾞｱｾﾞﾊﾟﾑｼﾞｮｳ2mg｢ｱﾒﾙ｣","001","錠剤","0",""
"ｼｱｾ002","ｼｱｾ002","ジアゼパム錠５ｍｇ「アメル」","ｼﾞｱｾﾞ5","1","","6.00000","ｼﾞｱｾﾞﾊﾟﾑｼﾞｮｳ5mg｢ｱﾒﾙ｣","001","錠剤","0",""
"ｼｱｾ003","ｼｱｾ003","ジアゼパム注射液５ｍｇ「ＮＩＧ」","","1","","120.00000","ｼﾞｱｾﾞﾊﾟﾑﾁﾕｳｼﾔｴｷ5MGNIG","025","注射剤","0",""
"ｼｱﾅ001","ｼｱﾅ001","シアナマイド内用液１％「タナベ」","ｼｱﾅﾏ","1","","5.10000","ｼｱﾅﾏｲﾄﾞﾅｲﾖｳｴｷ1%｢ﾀﾅﾍﾞ｣","007","液（内用）","2",""
"ｼｱﾉ001","ｼｱﾉ001","シアノコバラミン点眼液０．０２％「日点」","ｼｱﾉ","1","","89.20000","ｼｱﾉｺﾊﾞﾗﾐﾝﾃﾝｶﾞﾝｴｷ0.02%｢ﾆｯﾃﾝ｣","021","点眼剤","0",""
"ｼｴｲ001","ｼｴｲ001","ジェイゾロフト錠２５ｍｇ","ｼﾞｪｲｿﾞ","0","","44.20000","ｼﾞｪｲｿﾞﾛﾌﾄｼﾞｮｳ25mg","001","錠剤","2",""
"ｼｴﾆ001","ｼｴﾆ001","ジェニナック錠２００ｍｇ","ｼﾞｪﾆﾅ","1","","139.40000","ｼﾞｴﾆﾅﾂｸｼﾞﾖｳ200MG","001","錠剤","0",""
"ｼｷﾗ001","ｼｷﾗ001","ジギラノゲン注０．４ｍｇ","ｼﾞｷﾞﾗﾉ","1","","139.00000","ｼﾞｷﾞﾗﾉｹﾞﾝﾁｭｳ0.4mg","025","注射剤","2",""
"ｼｸｱ001","ｼｸｱ001","ジクアス点眼液３％","ｼﾞｸｱ","2","","529.70000","ｼﾞｸｱｽﾃﾝｶﾞﾝｴｷ3%","021","点眼剤","0",""
"ｼｸﾚ001","ｼｸﾚ001","シクレスト舌下錠５ｍｇ","ｼｸﾚ5","1","","199.60000","ｼｸﾚｽﾄｾﾞｯｶｼﾞｮｳ5mg","001","錠剤","2",""
"ｼｸﾚ002","ｼｸﾚ002","シクレスト舌下錠１０ｍｇ","ｼｸﾚ10","1","","307.00000","ｼｸﾚｽﾄｾﾞｯｶｼﾞｮｳ10mg","001","錠剤","2",""
"ｼｸﾛ001","ｼｸﾛ001","ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」","ｼﾞｸﾛ","1","","20.90000","ｼﾞｸﾛﾌｪﾅｸﾅﾄﾘｳﾑｻﾞｻﾞｲ25mg｢JG｣","012","坐剤","2",""
"ｼｸﾛ002","ｼｸﾛ002","シクロスポリンカプセル５０ｍｇ「トーワ」","ｼｸﾛ","2","","76.00000","ｼｸﾛｽﾎﾟﾘﾝｶﾌﾟｾﾙ50mg｢ﾄｰﾜ｣","002","カプセル","2",""
"ｼｽﾁ001","ｼｽﾁ001","ジスチグミン臭化物錠５ｍｇ「ＮＩＧ」","ｼﾞｽﾁ","1","","10.40000","ｼﾞｽﾁｸﾞﾐﾝｼｭｳｶﾌﾞﾂｼﾞｮｳ5mg｢NIG｣","001","錠剤","1",""
"ｼｽﾊ001","ｼｽﾊ001","ジスバルカプセル４０ｍｇ","","0","","2297.90000","ｼﾞｽﾊﾞﾙｶﾌﾟｾﾙ40MG","002","カプセル","2",""
"ｼﾋﾊ001","ｼﾋﾊ001","シーピー配合顆粒","ｼｰﾋﾟｰ","1","","6.50000","ｼｰﾋﾟｰﾊｲｺﾞｳｶﾘｭｳ","003","散","0",""
"ｼﾌｴ001","ｼﾌｴ001","ジフェニドール塩酸塩錠２５ｍｇ「ＮＩＧ」","ｼﾞﾌｪﾆﾄ","1","","5.90000","ｼﾞﾌｪﾆﾄﾞｰﾙｴﾝｻﾝｴﾝｼﾞｮｳ25mg｢NIG｣","001","錠剤","0",""
"ｼﾌﾙ001","ｼﾌﾙ001","ジフルカン静注液５０ｍｇ","ｼﾞﾌﾙ2","0","","1193.00000","ｼﾞﾌﾙｶﾝｼﾞｮｳﾁｭｳｴｷ50mg","025","注射剤","0",""
"ｼﾌﾙ002","ｼﾌﾙ002","ジフルカン静注液１００ｍｇ","ｼﾞﾌﾙ","0","","1520.00000","ｼﾞﾌﾙｶﾝｼﾞｮｳﾁｭｳｴｷ100mg","025","注射剤","0",""
"ｼﾌﾚ001","ｼﾌﾚ001","ジプレキサザイディス錠２．５ｍｇ","ｼﾞﾌﾟﾚ7","1","","44.40000","ｼﾞﾌﾟﾚｷｻｻﾞｲﾃﾞｨｽｼﾞｮｳ2.5mg","001","錠剤","2",""
"ｼﾌﾚ002","ｼﾌﾚ002","ジプレキサザイディス錠５ｍｇ","ｼﾞﾌﾟﾚ4","1","","89.10000","ｼﾞﾌﾟﾚｷｻｻﾞｲﾃﾞｨｽｼﾞｮｳ5mg","001","錠剤","2",""
"ｼﾌﾚ003","ｼﾌﾚ003","ジプレキサザイディス錠１０ｍｇ","ｼﾞﾌﾟﾚ5","1","","178.50000","ｼﾞﾌﾟﾚｷｻｻﾞｲﾃﾞｨｽｼﾞｮｳ10mg","001","錠剤","2",""
"ｼﾌﾚ004","ｼﾌﾚ004","ジプレキサ筋注用１０ｍｇ","ｼﾞﾌﾟﾚ6","2","","1572.00000","ｼﾞﾌﾟﾚｷｻｷﾝﾁｭｳﾖｳ10mg","025","注射剤","2",""
"ｼﾌﾛ001","ｼﾌﾛ001","シプロフロキサシン点滴静注２００ｍｇ／１００ｍＬ「明治」","ｼﾌﾟﾛ","0","","966.00000","ｼﾌﾟﾛﾌﾛｷｻｼﾝﾃﾝﾃｷｼﾞｮｳﾁｭｳ200mg/100mL｢ﾒｲｼﾞ｣","025","注射剤","0",""
"ｼﾍﾝ001","ｼﾍﾝ001","シベンゾリンコハク酸塩錠１００ｍｇ「サワイ」","","2","","15.90000","ｼﾍﾞﾝｿﾞﾘﾝｺﾊｸｻﾝｴﾝｼﾞﾖｳ100MGｻﾜｲ","001","錠剤","2",""
"ｼﾒﾁ001","ｼﾒﾁ001","ジメチコン錠４０ｍｇ「ＹＤ」","ｼﾞﾒﾁ","1","","5.90000","ｼﾞﾒﾁｺﾝｼﾞｮｳ40mg｢YD｣","001","錠剤","0",""
"ｼﾖｳ001","ｼﾖｳ001","硝酸イソソルビド徐放カプセル２０ｍｇ「Ｓｔ」","ｼｮｳ20","1","","6.10000","ｼｮｳｻﾝｲｿｿﾙﾋﾞﾄﾞｼﾞｮﾎｳｶﾌﾟｾﾙ20mg｢St｣","002","カプセル","0",""
"ｼﾖｳ002","ｼﾖｳ002","照射赤血球液－ＬＲ「日赤」","ｼｮｳｼｬ","1","","18132.00000","ｼｮｳｼｬｾｯｹｯｷｭｳｴｷ-LR｢ﾆｯｾｷ｣","025","注射剤","0",""
"ｼﾙﾁ001","ｼﾙﾁ001","ジルチアゼム塩酸塩静注用５０ｍｇ「日医工」","ｼﾞﾙﾁｱ*","0","","389.00000","ｼﾞﾙﾁｱｾﾞﾑｴﾝｻﾝｴﾝｼﾞｮｳﾁｭｳﾖｳ50mg｢ﾆﾁｲｺｳ｣","025","注射剤","2",""
"ｼﾛｽ001","ｼﾛｽ001","シロスタゾール錠１００ｍｇ「トーワ」","ｼﾛｽ100","0","","12.60000","ｼﾛｽﾀｿﾞｰﾙｼﾞｮｳ100mg｢ﾄｰﾜ｣","001","錠剤","0",""
"ｼﾛｽ002","ｼﾛｽ002","シロスタゾールＯＤ錠１００ｍｇ「トーワ」","","0","","12.60000","ｼﾛｽﾀｿﾞ-ﾙODｼﾞﾖｳ100MGﾄ-ﾜ","001","錠剤","0",""
"ｼﾛｽ003","ｼﾛｽ003","シロスタゾールＯＤ錠１００ｍｇ「タカタ」","","1","","24.40000","ｼﾛｽﾀｿﾞ-ﾙODｼﾞﾖｳ100MGﾀｶﾀ","001","錠剤","0",""
"ｼﾛﾄ001","ｼﾛﾄ001","シロドシンＯＤ錠４ｍｇ「ＫＭＰ」","","1","","13.20000","ｼﾛﾄﾞｼﾝODｼﾞﾖｳ4MGKMP","001","錠剤","2",""
"ｼﾝｸ001","ｼﾝｸ001","シングレア錠１０ｍｇ","ｼﾝｸﾞﾚｱ","1","","60.90000","ｼﾝｸﾞﾚｱｼﾞｮｳ10mg","001","錠剤","0",""
"ｼﾝﾚ001","ｼﾝﾚ001","新レシカルボン坐剤","ﾚｼｶﾙ","1","","73.70000","ｼﾝﾚｼｶﾙﾎﾞﾝｻﾞｻﾞｲ","012","坐剤","0",""
"ｽｲﾖ001","ｽｲﾖ001","水溶性ハイドロコートン注射液１００ｍｇ","ﾊｲﾄﾞﾛ","1","","495.00000","ｽｲﾖｳｾｲﾊｲﾄﾞﾛｺ-ﾄﾝﾁﾕｳｼﾔｴｷ100MG","025","注射剤","0",""
"ｽｸﾛ001","ｽｸﾛ001","スクロードパスタ","ｽｸﾛｰﾄﾞ","1","","9.70000","ｽｸﾛｰﾄﾞﾊﾟｽﾀ","014","軟膏","0",""
"ｽﾀﾃ001","ｽﾀﾃ001","スタデルムクリーム５％","ｽﾀﾃﾞ","1","","11.10000","ｽﾀﾃﾞﾙﾑｸﾘｰﾑ5%","015","クリーム","0",""
"ｽﾄﾛ001","ｽﾄﾛ001","ストロメクトール錠３ｍｇ","ｽﾄﾛﾒｸﾄ","2","","574.80000","ｽﾄﾛﾒｸﾄｰﾙｼﾞｮｳ3mg","001","錠剤","2",""
"ｽﾋﾘ001","ｽﾋﾘ001","スピリーバ２．５μｇレスピマット６０吸入","ｽﾋﾟﾘﾚ","0","","3100.90000","ｽﾋﾟﾘｰﾊﾞ2.5μgﾚｽﾋﾟﾏｯﾄ60ｷｭｳﾆｭｳ","010","吸入剤","0",""
"ｽﾋﾙ001","ｽﾋﾙ001","スピール膏Ｍ","ｽﾋﾟｰﾙ","1","","70.60000","ｽﾋﾟｰﾙｺｳM","019","貼付剤","0",""
"ｽﾋﾛ001","ｽﾋﾛ001","スピロノラクトン錠２５ｍｇ「トーワ」","ｽﾋﾟﾛ","0","","5.90000","ｽﾋﾟﾛﾉﾗｸﾄﾝｼﾞｮｳ25mg｢ﾄｰﾜ｣","001","錠剤","0",""
"ｽﾋﾛ002","ｽﾋﾛ002","スピロペント錠１０μｇ","ｽﾋﾟﾛﾍﾟ","1","","7.30000","ｽﾋﾟﾛﾍﾟﾝﾄｼﾞｮｳ10μg","001","錠剤","0",""
"ｽﾐｽ001","ｽﾐｽ001","スミスリンローション５％","","2","","72.50000","ｽﾐｽﾘﾝﾛ-ｼﾖﾝ5%","017","外用液剤","0",""
"ｽﾙﾊ001","ｽﾙﾊ001","スルバシリン静注用１．５ｇ","ｽﾙﾊﾞ","1","","597.00000","ｽﾙﾊﾞｼﾘﾝｼﾞｮｳﾁｭｳﾖｳ1.5g","025","注射剤","0",""
"ｽﾙﾋ001","ｽﾙﾋ001","スルピリド錠１００ｍｇ「アメル」","ｽﾙﾋﾟﾘ1","1","","6.60000","ｽﾙﾋﾟﾘﾄﾞｼﾞｮｳ100mg｢ｱﾒﾙ｣","001","錠剤","2",""
"ｽﾙﾋ002","ｽﾙﾋ002","スルピリド錠２００ｍｇ「アメル」","ｽﾙﾋﾟﾘ2","1","","8.30000","ｽﾙﾋﾟﾘﾄﾞｼﾞｮｳ200mg｢ｱﾒﾙ｣","001","錠剤","2",""
"ｽﾙﾋ003","ｽﾙﾋ003","スルピリド錠５０ｍｇ「アメル」","ｽﾙﾋﾟ","1","","6.60000","ｽﾙﾋﾟﾘﾄﾞｼﾞｮｳ50mg｢ｱﾒﾙ｣","001","錠剤","0",""
"ｽﾙﾋ004","ｽﾙﾋ004","スルピリド細粒５０％「アメル」","ｽﾙﾋﾟﾘﾄ","0","","21.00000","ｽﾙﾋﾟﾘﾄﾞｻｲﾘｭｳ50%｢ｱﾒﾙ｣","003","散","2",""
"ｾｲｼ001","ｾｲｼ001","大塚生食注","ｾｲｼｮｸ3","1","","236.00000","ｵｵﾂｶｾｲｼｮｸﾁｭｳ","025","注射剤","0",""
"ｾｲｼ002","ｾｲｼ002","大塚生食注","ｾｲｼｮｸ4","1","","236.00000","ｵｵﾂｶｾｲｼｮｸﾁｭｳ","025","注射剤","0",""
"ｾｲｼ003","ｾｲｼ003","生食溶解液キットＨ","ｾｲｼｮｸ6","1","","212.00000","ｾｲｼｮｸﾖｳｶｲｴｷｷｯﾄH","025","注射剤","0",""
"ｾｲｼ004","ｾｲｼ004","生食注シリンジ「オーツカ」１０ｍＬ","ｾｲｼｮｸ8","0","","100.00000","ｾｲｼｮｸﾁｭｳｼﾘﾝｼﾞ｢ｵｰﾂｶ｣10mL","025","注射剤","0",""
"ｾｲｼ005","ｾｲｼ005","生食注シリンジ「ＮＰ」","","1","","100.00000","ｾｲｼﾖｸﾁﾕｳｼﾘﾝｼﾞNP","025","注射剤","0",""
"ｾｲﾘ001","ｾｲﾘ001","生理食塩液「ＶＴＲＳ」","ｾｲｼｮｸ9","1","","147.00000","ｾｲﾘｼｮｸｴﾝｴｷ｢VTRS｣","025","注射剤","0",""
"ｾｲﾘ002","ｾｲﾘ002","生理食塩液「ＶＴＲＳ」","","1","","100.00000","ｾｲﾘｼﾖｸｴﾝｴｷVTRS","025","注射剤","0",""
"ｾﾁｱ001","ｾﾁｱ001","ゼチーア錠１０ｍｇ","ｾﾞﾁ","0","","64.40000","ｾﾞﾁｰｱｼﾞｮｳ10mg","001","錠剤","0",""
"ｾﾃｲ001","ｾﾃｲ001","セディール錠１０ｍｇ","ｾﾃﾞｨ","1","","15.50000","ｾﾃﾞｨｰﾙｼﾞｮｳ10mg","001","錠剤","2",""
"ｾﾊｿ001","ｾﾊｿ001","セパゾン錠１","ｾﾊﾟｿﾞ1","1","","5.90000","ｾﾊﾟｿﾞﾝｼﾞｮｳ1","001","錠剤","0",""
