A行番号,A薬品名,B候補1,B行番号1,類似度1,B候補2,B行番号2,類似度2,B候補3,B行番号3,類似度3,B候補4,B行番号4,類似度4,B候補5,B行番号5,類似度5
19,デカドロン注射液６．６ｍｇ,デカドロン注射液３．３ｍｇ,314,84.61538461538461,ハベカシン注射液７５ｍｇ,400.0,56.00000000000001,アキネトン注射液５ｍｇ,2.0,50.0,水溶性ハイドロコートン注射液１００ｍｇ,209.0,50.0,ドルミカム注射液１０ｍｇ,359.0,48.0
20,デノタスチュアブル配合錠,ノイロビタン配合錠,389,47.61904761904761,グリチロン配合錠,153.0,40.0,セレスタミン配合錠,241.0,38.095238095238095,インチュニブ錠１ｍｇ,67.0,36.36363636363637,グラアルファ配合点眼液,137.0,34.78260869565217
21,デルモベート軟膏０．０５％,マイザー軟膏０．０５％,543,66.66666666666667,デルモゾールＧ軟膏,333.0,54.54545454545454,アズノール軟膏０．０３３％,11.0,53.84615384615385,ヒルドイドソフト軟膏０．３％,441.0,51.85185185185186,プロスタンディン軟膏０．００３％,487.0,48.275862068965516
22,トリアゾラム錠０．１２５ｍｇ「ＣＨ」　　採用中止,トリアゾラム錠０．２５ｍｇ「日医工」,351,73.17073170731707,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,491.0,57.14285714285714,エチゾラム錠０．５ｍｇ「アメル」,79.0,56.41025641025641,ロラゼパム錠０．５ｍｇ「サワイ」,676.0,51.28205128205128,エチゾラム錠１ｍｇ「アメル」,80.0,48.64864864864865
23,トリアゾラム錠０．２５ｍｇ「ＣＨ」　　　採用中止,トリアゾラム錠０．２５ｍｇ「日医工」,351,75.0,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,491.0,58.53658536585367,エチゾラム錠０．５ｍｇ「アメル」,79.0,57.89473684210527,ロラゼパム錠０．５ｍｇ「サワイ」,676.0,52.63157894736843,セルトラリン錠２５ｍｇ「明治」,239.0,48.64864864864865
24,ニルバジピン錠２ｍｇ「サワイ」,ニルバジピン錠４ｍｇ「サワイ」,382,93.33333333333333,ファモチジンＤ錠２０ｍｇ「サワイ」,447.0,68.75,プレガバリンＯＤ錠２５ｍｇ「サワイ」,482.0,66.66666666666667,ミルタザピンＯＤ錠１５ｍｇ「サワイ」,558.0,66.66666666666667,アジルサルタンＯＤ錠２０ｍｇ「サワイ」,9.0,64.70588235294117
25,ピオグリダゾンＯＤ錠１５ｍｇ「トーワ」,グリメピリドＯＤ錠１ｍｇ「トーワ」,154,72.22222222222221,オロパタジン塩酸塩ＯＤ錠５ｍｇ「トーワ」,111.0,66.66666666666667,ランソプラゾールＯＤ錠１５ｍｇ「トーワ」,596.0,66.66666666666667,パロキセチンＯＤ錠１０ｍｇ「トーワ」,405.0,64.86486486486487,ミルタザピンＯＤ錠１５ｍｇ「サワイ」,558.0,64.86486486486487
26,ヒベルナ注２５ｍｇ,ヒベルナ糖衣錠２５ｍｇ,435,80.0,ヒルナミン錠（２５ｍｇ）,443.0,66.66666666666667,ノベルジン錠２５ｍｇ,390.0,63.1578947368421,ヒルナミン錠（５ｍｇ）,442.0,60.0,ヒルナミン錠（５０ｍｇ）,444.0,57.14285714285714
27,ピューラックス６％,オイラックスクリーム１０％,100,45.45454545454546,メイラックス錠１ｍｇ,560.0,42.10526315789473,アタラックス錠２５ｍｇ,20.0,40.0,ソラナックス０．４ｍｇ錠,253.0,38.095238095238095,ソラナックス０．８ｍｇ錠,254.0,38.095238095238095
28,"フェノバルビタール散１０％
「ホエイ」",フェノバルビタール散１０％「ホエイ」,453,70.27027027027026,フェノバール注射液１００ｍｇ,455.0,48.484848484848484,フェノバール錠３０ｍｇ,454.0,46.666666666666664,ポビドンヨードゲル１０％,537.0,38.70967741935484,エフィナコナゾール爪外用液１０％「サワイ」,90.0,35.0
29,フェロミア顆粒８．３％　,フェロミア錠５０ｍｇ,457,47.61904761904761,フロセミド細粒４％「ＥＭＥＣ」,489.0,38.46153846153846,オフロキサシン点眼液０．３％「ＪＧ」,105.0,34.48275862068966,アズノール軟膏０．０３３％,11.0,33.333333333333336,ヒルドイドソフト軟膏０．３％,441.0,31.999999999999996
30,フォリアミン錠５ｍｇ,フォリアミン錠,460,82.35294117647058,フォシーガ錠５ｍｇ,459.0,63.1578947368421,トレドミン錠１５ｍｇ,362.0,60.0,トレドミン錠２５ｍｇ,363.0,60.0,フェロミア錠５０ｍｇ,457.0,60.0
31,ブスコパン注２０ｍｇ　２％,ブスコパン注２０ｍｇ,462,86.95652173913044,レスプレン錠２０ｍｇ,647.0,52.17391304347826,デパケンＲ錠２００ｍｇ,322.0,50.0,ドパストン静注５０ｍｇ,340.0,50.0,アレビアチン注２５０ｍｇ,53.0,48.0
32,ブドウ糖,ブドウ糖＊（扶桑）,463,61.53846153846154,ブドウ糖注５％ＰＬ「フソー」,464.0,44.44444444444444,ブドウ糖注５％ＰＬ「フソー」,466.0,44.44444444444444,ブドウ糖注５０％ＰＬ「フソー」,465.0,42.10526315789473,,,
